"Agency","Subagency","accountID","Title","Obligation"
"Department of Transportation","Federal Railroad Administration",1889,"Railroad Safety Technology Program",0
"Department of Transportation","Federal Railroad Administration",1906,"Railroad Rehabilitation and Improvement Program Account",0
"Department of Transportation","Federal Railroad Administration",1971,"Financing Funds",0
"Department of Transportation","Federal Transit Administration",1911,"Administrative Expenses",52143894.6
"Department of Transportation","Federal Transit Administration",1912,"Research, Training, and Human Resources",0
"Department of Transportation","Federal Transit Administration",1913,"Urban Discretionary Grants",0
"Department of Transportation","Federal Transit Administration",1916,"Job Access and Reverse Commute Grants",0
"Department of Transportation","Federal Transit Administration",1918,"Interstate Transfer Grants-Transit",0
"Department of Transportation","Federal Transit Administration",1919,"Washington Metropolitan Area Transit Authority",15555861.19
"Department of Transportation","Federal Transit Administration",1920,"Formula Grants",166215
"Department of Transportation","Federal Transit Administration",1910,"Urban Mass Transportation Fund",0
"Department of Transportation","Federal Transit Administration",1914,"Non-Urban Formula Grants",0
"Department of Transportation","Federal Transit Administration",1915,"Urban Formula Grants",0
"Department of Transportation","Federal Transit Administration",1921,"Grants for Energy Efficiency and Greenhouse Gas Reductions",0
"Department of Transportation","Federal Transit Administration",1923,"Capital Investment Grants",518719745.4
"Department of Transportation","Federal Transit Administration",1922,"Capital Investment Grants - Recovery Act",0
"Department of Transportation","Federal Transit Administration",1925,"Transit Research",7152884.62
"Department of Transportation","Federal Transit Administration",1924,"University Transportation Research",0
"Department of Transportation","Federal Transit Administration",1926,"Public Transportation Emergency Relief Program",6538620.14
"Department of Transportation","Federal Transit Administration",1927,"Technical Assistance and Training",0
"Department of Transportation","Federal Transit Administration",1908,"Transit Capital Assistance - Recovery Act",0
"Department of Transportation","Federal Transit Administration",1909,"Fixed Guideway Infrastructure Investment - Recovery Act",0
"Department of Transportation","Federal Transit Administration",2026,"Discretionary Grants, Liquidation of Contract Authorization, Highway Trust Fund",0
"Department of Transportation","Federal Transit Administration",2032,"Formula and Bus Grants",1401746885
"Department of Transportation","Saint Lawrence Seaway Development Corporation",1953,"Saint Lawrence Seaway Development Corporation Fund",9413381.8
"Department of Transportation","Saint Lawrence Seaway Development Corporation",1994,"Operations and Maintenance",16293632
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1790,"Research and Special Programs",0
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1933,"Operational Expenses",8479016.02
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1934,"Hazardous Materials Safety",21673721.22
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1976,"Pipeline Safety",33580892.39
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1977,"Emergency Preparedness Grants",1141158.96
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",2023,"Trust Fund Share of Pipeline Safety",12692395
"Department of Transportation","Office of Inspector General",1804,"Salaries and Expenses",42132013.72
"Department of Transportation","Office of Inspector General",1805,"Salaries and Expenses - Recovery Act",0
"Department of Transportation","Surface Transportation Board",1814,"Salaries and Expenses",73453.69
"Department of Transportation","Maritime Administration",1942,"Operations and Training",64434831.05
"Department of Transportation","Maritime Administration",1948,"Assistance to Shipyards",4791.6
"Department of Transportation","Maritime Administration",1946,"Ship Disposal",1908737
"Department of Transportation","Maritime Administration",1938,"Maritime Security Program",118749901.3
"Department of Transportation","Maritime Administration",1943,"Ocean Freight Differential",0
"Department of Transportation","Maritime Administration",1937,"Ready Reserve Force",154684654.44
"Department of Transportation","Maritime Administration",1966,"Vessel Operations Revolving Fund",5724456.97
"Department of Transportation","Maritime Administration",1965,"War-Risk Insurance Revolving Fund",0
"Department of Transportation","Maritime Administration",1980,"Port of Guam Improvement Enterprise Fund",0
"Department of Transportation","Maritime Administration",1944,"Maritime Guaranteed Loan, (Title XI) Program Account",43861568.61
"Department of Transportation","Maritime Administration",2049,"Special Studies",161389.46
"Department of Transportation","Maritime Administration",2048,"Gifts and Bequests",283264.53
"Department of the Treasury","Departmental Offices",1176,"Salaries and Expenses",163946797
"Department of the Treasury","Departmental Offices",1260,"Salaries and Expenses",68798986.55
"Department of the Treasury","Departmental Offices",1180,"Department-Wide Systems and Capital Investments Programs",3306252.95
"Department of the Treasury","Departmental Offices",1177,"Salaries and Expenses",20849263.63
"Department of the Treasury","Departmental Offices",1182,"Salaries and Expenses",83981100.33
"Department of the Treasury","Departmental Offices",1193,"Salaries and Expenses - Recovery Act",0
"Department of the Treasury","Departmental Offices",1178,"Treasury Buildings and Annex Repair and Restoration",0
"Department of the Treasury","Departmental Offices",1181,"Counterterrorism Fund",0
"Department of the Treasury","Departmental Offices",1184,"Terrorism Insurance Program",987974.28
"Department of the Treasury","Departmental Offices",1310,"Treasury Forfeiture Fund",353264612.3
"Department of the Treasury","Departmental Offices",1308,"Financial Research Fund",67352319.74
"Department of the Treasury","Departmental Offices",1298,"Presidential Election Campaign Fund",134900
"Department of the Treasury","Departmental Offices",1291,"Exchange Stabilization Fund",0
"Department of the Treasury","Departmental Offices",1296,"Treasury Franchise Fund",362863858.7
"Department of the Treasury","Departmental Offices",1196,"Grants for Specified Energy Property in Lieu of Tax Credits - Recovery Act",738016326
"Department of the Treasury","Departmental Offices",1273,"Community Development Financial Institutions Fund",17099367.33
"Department of the Treasury","Departmental Offices",1364,"Capital Magnet Fund",582590.52
"Department of the Treasury","Departmental Offices",1366,"Violent Crime Reduction Program",0
"Department of the Treasury","Departmental Offices",1188,"Office of Financial Stability",96884312.05
